state_death,year,total_killed,killed_black,perc_killed_black,killed_caucasian,perc_killed_caucasian
SD,2003,3,,,1.0,33.0
SD,2004,1,,,1.0,100.0
SD,2005,1,,,1.0,100.0
SD,2007,5,,,5.0,100.0
SD,2010,2,,,1.0,50.0
SD,2011,4,,,3.0,75.0
SD,2013,5,,,1.0,20.0
SD,2014,3,,,1.0,33.0
SD,2015,5,,,2.0,40.0
SD,2016,6,,,2.0,33.0
SD,2017,3,,,2.0,67.0
SD,2018,10,,,7.0,70.0
SD,2019,4,,,2.0,50.0
SD,2020,2,,,,
TN,2000,20,5.0,25.0,5.0,25.0
TN,2001,27,,,1.0,4.0
TN,2002,24,4.0,17.0,5.0,21.0
TN,2003,24,5.0,21.0,4.0,17.0
TN,2004,28,7.0,25.0,6.0,21.0
TN,2005,18,6.0,33.0,4.0,22.0
TN,2006,31,4.0,13.0,9.0,29.0
TN,2007,25,9.0,36.0,10.0,40.0
TN,2008,25,4.0,16.0,5.0,20.0
TN,2009,19,8.0,42.0,5.0,26.0
TN,2010,26,9.0,35.0,11.0,42.0
TN,2011,20,6.0,30.0,9.0,45.0
TN,2012,34,12.0,35.0,18.0,53.0
TN,2013,33,11.0,33.0,19.0,58.0
TN,2014,34,7.0,21.0,25.0,74.0
TN,2015,26,5.0,19.0,18.0,69.0
TN,2016,36,7.0,19.0,22.0,61.0
TN,2017,38,4.0,11.0,30.0,79.0
TN,2018,44,15.0,34.0,22.0,50.0
TN,2019,49,13.0,27.0,27.0,55.0
TN,2020,24,6.0,25.0,7.0,29.0
TX,2000,37,6.0,16.0,5.0,14.0
TX,2001,37,3.0,8.0,3.0,8.0
TX,2002,43,8.0,19.0,11.0,26.0
TX,2003,44,8.0,18.0,9.0,20.0
TX,2004,38,7.0,18.0,11.0,29.0
TX,2005,112,21.0,19.0,45.0,40.0
TX,2006,92,21.0,23.0,22.0,24.0
TX,2007,125,35.0,28.0,31.0,25.0
TX,2008,113,27.0,24.0,39.0,35.0
TX,2009,110,23.0,21.0,33.0,30.0
TX,2010,119,31.0,26.0,41.0,34.0
TX,2011,109,32.0,29.0,39.0,36.0
TX,2012,170,42.0,25.0,53.0,31.0
TX,2013,213,47.0,22.0,71.0,33.0
TX,2014,218,50.0,23.0,78.0,36.0
TX,2015,197,37.0,19.0,80.0,41.0
TX,2016,162,37.0,23.0,74.0,46.0
TX,2017,115,25.0,22.0,37.0,32.0
TX,2018,177,28.0,16.0,39.0,22.0
TX,2019,179,38.0,21.0,51.0,28.0
TX,2020,76,12.0,16.0,18.0,24.0
UT,2000,4,,,,
UT,2001,3,,,,
UT,2002,5,,,2.0,40.0
UT,2003,7,,,1.0,14.0
UT,2004,7,,,5.0,71.0
UT,2005,7,1.0,14.0,2.0,29.0
UT,2006,5,,,2.0,40.0
UT,2007,16,,,6.0,38.0
UT,2008,10,1.0,10.0,3.0,30.0
UT,2009,12,,,8.0,67.0
UT,2010,14,,,6.0,43.0
UT,2011,9,,,7.0,78.0
UT,2012,8,1.0,12.0,5.0,62.0
UT,2013,9,,,7.0,78.0
UT,2014,28,1.0,4.0,16.0,57.0
UT,2015,11,1.0,9.0,10.0,91.0
UT,2016,13,,,12.0,92.0
UT,2017,13,1.0,8.0,4.0,31.0
UT,2018,25,3.0,12.0,13.0,52.0
UT,2019,13,2.0,15.0,6.0,46.0
UT,2020,11,1.0,9.0,3.0,27.0
VA,2000,23,3.0,13.0,2.0,9.0
VA,2001,32,6.0,19.0,3.0,9.0
VA,2002,31,2.0,6.0,,
VA,2003,17,3.0,18.0,,
VA,2004,22,5.0,23.0,1.0,5.0
VA,2005,17,4.0,24.0,3.0,18.0
VA,2006,35,8.0,23.0,9.0,26.0
VA,2007,29,6.0,21.0,7.0,24.0
VA,2008,25,5.0,20.0,7.0,28.0
VA,2009,31,10.0,32.0,13.0,42.0
VA,2010,26,13.0,50.0,4.0,15.0
VA,2011,30,9.0,30.0,13.0,43.0
VA,2012,23,2.0,9.0,14.0,61.0
VA,2013,29,15.0,52.0,7.0,24.0
VA,2014,28,5.0,18.0,13.0,46.0
VA,2015,34,15.0,44.0,15.0,44.0
VA,2016,30,12.0,40.0,10.0,33.0
VA,2017,45,15.0,33.0,19.0,42.0
VA,2018,30,11.0,37.0,11.0,37.0
VA,2019,29,11.0,38.0,9.0,31.0
VA,2020,18,6.0,33.0,5.0,28.0
VT,2000,2,,,,
VT,2001,2,,,2.0,100.0
VT,2002,1,,,1.0,100.0
VT,2003,1,,,,
VT,2005,1,,,,
VT,2006,2,,,1.0,50.0
VT,2007,1,,,,
VT,2008,3,,,2.0,67.0
VT,2010,1,1.0,100.0,,
VT,2011,1,,,,
VT,2012,3,,,3.0,100.0
VT,2013,2,,,2.0,100.0
VT,2014,2,,,1.0,50.0
VT,2015,1,,,1.0,100.0
VT,2016,3,,,3.0,100.0
VT,2017,1,,,1.0,100.0
VT,2018,4,,,4.0,100.0
VT,2019,5,,,4.0,80.0
VT,2020,3,,,3.0,100.0
WA,2000,10,2.0,20.0,1.0,10.0
WA,2001,24,2.0,8.0,7.0,29.0
WA,2002,24,4.0,17.0,3.0,12.0
WA,2003,21,1.0,5.0,3.0,14.0
WA,2004,19,1.0,5.0,3.0,16.0
WA,2005,25,3.0,12.0,16.0,64.0
WA,2006,25,1.0,4.0,12.0,48.0
WA,2007,19,2.0,11.0,9.0,47.0
WA,2008,13,1.0,8.0,5.0,38.0
WA,2009,27,1.0,4.0,20.0,74.0
WA,2010,32,4.0,12.0,21.0,66.0
WA,2011,42,1.0,2.0,30.0,71.0
WA,2012,24,3.0,12.0,17.0,71.0
WA,2013,40,7.0,18.0,27.0,68.0
WA,2014,44,3.0,7.0,34.0,77.0
WA,2015,20,2.0,10.0,11.0,55.0
WA,2016,35,6.0,17.0,18.0,51.0
WA,2017,52,8.0,15.0,20.0,38.0
WA,2018,38,1.0,3.0,18.0,47.0
WA,2019,56,8.0,14.0,18.0,32.0
WA,2020,21,4.0,19.0,5.0,24.0
WI,2000,6,,,,
WI,2001,10,,,2.0,20.0
WI,2002,27,3.0,11.0,4.0,15.0
WI,2003,21,2.0,10.0,4.0,19.0
WI,2004,11,,,3.0,27.0
WI,2005,18,,,3.0,17.0
WI,2006,19,,,6.0,32.0
WI,2007,28,1.0,4.0,14.0,50.0
WI,2008,11,,,1.0,9.0
WI,2009,11,3.0,27.0,3.0,27.0
WI,2010,28,5.0,18.0,6.0,21.0
WI,2011,21,3.0,14.0,7.0,33.0
WI,2012,13,,,8.0,62.0
WI,2013,24,7.0,29.0,13.0,54.0
WI,2014,17,4.0,24.0,12.0,71.0
WI,2015,18,2.0,11.0,10.0,56.0
WI,2016,24,6.0,25.0,15.0,62.0
WI,2017,34,10.0,29.0,16.0,47.0
WI,2018,29,7.0,24.0,13.0,45.0
WI,2019,33,9.0,27.0,12.0,36.0
WI,2020,20,6.0,30.0,6.0,30.0
WV,2000,4,,,2.0,50.0
WV,2001,3,,,,
WV,2002,4,,,,
WV,2003,6,,,2.0,33.0
WV,2004,3,,,2.0,67.0
WV,2005,4,,,,
WV,2006,5,,,3.0,60.0
WV,2007,3,,,1.0,33.0
WV,2008,9,1.0,11.0,2.0,22.0
WV,2009,4,1.0,25.0,3.0,75.0
WV,2010,3,,,,
WV,2011,9,1.0,11.0,2.0,22.0
WV,2012,13,1.0,8.0,9.0,69.0
WV,2013,11,1.0,9.0,7.0,64.0
WV,2014,10,1.0,10.0,7.0,70.0
WV,2015,14,2.0,14.0,10.0,71.0
WV,2016,20,1.0,5.0,17.0,85.0
WV,2017,19,1.0,5.0,14.0,74.0
WV,2018,9,2.0,22.0,5.0,56.0
WV,2019,17,3.0,18.0,10.0,59.0
WV,2020,2,1.0,50.0,,
WY,2000,1,,,,
WY,2001,2,,,,
WY,2002,1,,,1.0,100.0
WY,2003,3,,,,
WY,2004,4,,,2.0,50.0
WY,2005,3,,,,
WY,2006,1,,,,
WY,2007,1,,,,
WY,2009,1,,,1.0,100.0
WY,2011,4,,,2.0,50.0
WY,2012,2,,,1.0,50.0
WY,2013,1,,,1.0,100.0
WY,2014,3,,,3.0,100.0
WY,2015,7,,,7.0,100.0
WY,2016,3,,,2.0,67.0
WY,2017,5,,,3.0,60.0
WY,2018,7,,,4.0,57.0
WY,2019,3,,,1.0,33.0
WY,2020,4,,,2.0,50.0
